letter,link,count
a,https://www.thesaurus.com/list/a/,22
b,https://www.thesaurus.com/list/b/,27
c,https://www.thesaurus.com/list/c/,31
d,https://www.thesaurus.com/list/d/,28
e,https://www.thesaurus.com/list/e/,13
f,https://www.thesaurus.com/list/f/,17
g,https://www.thesaurus.com/list/g/,17
h,https://www.thesaurus.com/list/h/,17
i,https://www.thesaurus.com/list/i/,22
j,https://www.thesaurus.com/list/j/,3
k,https://www.thesaurus.com/list/k/,4
l,https://www.thesaurus.com/list/l/,14
m,https://www.thesaurus.com/list/m/,63
n,https://www.thesaurus.com/list/n/,9
o,https://www.thesaurus.com/list/o/,13
p,https://www.thesaurus.com/list/p/,29
q,https://www.thesaurus.com/list/q/,2
r,https://www.thesaurus.com/list/r/,22
s,https://www.thesaurus.com/list/s/,41
t,https://www.thesaurus.com/list/t/,21
u,https://www.thesaurus.com/list/u/,19
v,https://www.thesaurus.com/list/v/,5
w,https://www.thesaurus.com/list/w/,15
x,https://www.thesaurus.com/list/x/,1
y,https://www.thesaurus.com/list/y/,1
z,https://www.thesaurus.com/list/z/,1